title,link,exp,company,salary,cities,tags
Python Developer,https://jobs.dou.ua/companies/holy-water/vacancies/278914/,0-1, HOLYWATER,,"Київ, за кордоном, віддалено","Python,SQL,REST,API"
Python Developer у Стартап,https://jobs.dou.ua/companies/esupport/vacancies/277354/,0-1,ESUPPORT,$1000–2500,,"Python,API,AI"
Стажер Python Developer для УНКД,https://jobs.dou.ua/companies/nko-go-unkd/vacancies/277381/,0-1,"ГО ""УНКД""",$300–500,віддалено,"Python,API"
Junior Python розробник,https://jobs.dou.ua/companies/aprior-it/vacancies/278442/,0-1, Apriorit,,"Київ, Дніпро, віддалено","Python,Flask,Git,SQL,Docker,AWS,Kubernetes"
Middle Python Engineer (ML project),https://jobs.dou.ua/companies/plantin/vacancies/279659/,1-3, PlantIn,,"Київ, віддалено","Python,Git,SQL,API,Docker,AWS,AI,NoSQL,MongoDB,Kubernetes,Pandas,NumPy,PyTorch,ETL"
Middle Python developer,https://jobs.dou.ua/companies/exoft/vacancies/279259/,1-3, Exoft,,Львів,"Python,Django,SQL,PostgreSQL,AI,JavaScript,Kubernetes,Jenkins"
Middle Python Engineer,https://jobs.dou.ua/companies/nova-digital/vacancies/266851/,1-3, Nova Digital,,"Київ, віддалено","Python,Git,Machine Learning,Pandas,NumPy"
Middle Full-Stack Developer,https://jobs.dou.ua/companies/derzhavne-pidpriyemstvo-infoteh/vacancies/279536/,1-3," ""ІНФОТЕХ""",,Київ,"Python,Django,Git,REST,API,Docker,React,TypeScript"
Middle Python Back-end Developer,https://jobs.dou.ua/companies/inquatro/vacancies/279551/,1-3, Inquatro,$1600–2000,віддалено,"Python,Django,Flask,SQL,API,Docker,AWS,PostgreSQL,AI,OOP,Microservice,CI/CD"
Core Support Engineer,https://jobs.dou.ua/companies/temerix/vacancies/279614/,1-3, Temerix,,"Вінниця, віддалено","Python,Git,SQL,API,Docker,Linux,AI,JavaScript,JS,OOP,NoSQL,Networking,MongoDB,HTML,CSS,TypeScript,Pandas"
